station_index,latitude,longitude,date_time,time_zone,aqi,city_name,city_url,dominant_pollution,pollution_co,pollution_dew,pollution_h,pollution_o3,pollution_p,pollution_pm10,pollution_pm25,pollution_r,pollution_so2,pollution_t
945,26.076795,119.2662176,2019-10-06 12:00:00,+08:00,76,https://aqicn.org/city/china/fuzhou/yangqiaoxilu,,pm25,8.2,18.1,60,45.1,1009.7,48,76,,2.6,26.5
946,26.076788,119.324574,2019-10-06 12:00:00,+08:00,93,https://aqicn.org/city/china/fuzhou/ziyang,,pm25,7.5,18.1,60,44.7,1009.7,45,93,,2.6,26.5
947,36.5904888,101.7537822,2019-10-06 12:00:00,+08:00,30,https://aqicn.org/city/china/xining/shihuanjingjiancezhan,,pm25,5.5,5.6,95.9,,765.5,9,30,0.7,3.1,6.2
948,36.617144,101.778228,2017-08-31 15:00:00,+08:00,-,http://aqicn.org/city/china/xining/shengyiyaocangku/,,,6.4,,86,,,21,46,,10.2,14
949,36.578752,101.847291,2019-10-06 12:00:00,+08:00,38,https://aqicn.org/city/china/xining/siluyiyuan,,pm25,6.4,5.6,95.9,,765.5,13,38,0.7,5.6,6.2
950,36.617144,101.778228,2019-10-06 12:00:00,+08:00,25,https://aqicn.org/city/china/xining/diwushuichang,,pm25,11.8,5.6,95.9,,765.5,10,25,0.7,3.6,6.2
951,29.859703,121.598744,2019-10-06 11:00:00,+08:00,41,https://aqicn.org/city/ningbo/taiguxiaoxue,,o3,5.5,,15.3,41.1,1018.5,28,38,,4.1,27.7
952,29.864991,121.528581,,+08:00,-,https://aqicn.org/city/ningbo/shihuanjingjiancezhongxin,,,,,15.2,,1018.7,,,,,27.7
953,29.894861,121.564012,2019-10-06 11:00:00,+08:00,42,https://aqicn.org/city/ningbo/sanjiangzhongxue,,o3,2.8,,15.3,41.9,1018.5,24,30,,3.1,27.7
954,29.960215,121.723047,2019-10-06 11:00:00,+08:00,43,https://aqicn.org/city/ningbo/longsaiyiyuan,,o3,3.7,,15.3,43.1,1018.5,22,30,,3.1,27.7
955,29.91421,121.846615,2019-10-06 11:00:00,+08:00,43,https://aqicn.org/city/ningbo/quhuanbaodaloubeilun,,o3,3.7,,15.3,42.7,1018.5,22,34,,3.1,27.7
956,29.823933,121.570251,2019-10-06 11:00:00,+08:00,46,https://aqicn.org/city/ningbo/wanlixueyuan,,pm25,4.6,,15.3,37.4,1018.5,30,46,,4.1,27.7
957,29.776796,121.644264,2019-10-06 11:00:00,+08:00,59,https://aqicn.org/city/ningbo/qianhushuichang,,pm25,5.5,,15.3,39,1018.5,22,59,,6.1,27.7
958,29.9018,121.622588,2019-10-06 11:00:00,+08:00,37,https://aqicn.org/city/ningbo/shizhengguanlizhan,,o3,4.6,,15.3,37,1018.5,20,34,,2.6,27.7
1238,37.8873,112.522,2019-10-06 13:00:00,+08:00,74,https://aqicn.org/city/china/taiyuan/jiancaoping,,pm25,4.6,,,12.2,,42,74,,4.1,
1239,37.9103,112.573,2016-01-24 19:00:00,+0800,-,http://aqicn.org/city/china/taiyuan/jianhe/,,,27,,47,4,1036,133,160,,69,-17
1240,38.0108,112.434,2019-10-06 12:00:00,+08:00,59,https://aqicn.org/city/china/taiyuan/shanglan,,pm25,5.6,,,5.3,,42,59,,5.1,
1241,37.7124,112.469,2019-10-06 13:00:00,+08:00,124,https://aqicn.org/city/china/taiyuan/jinyuan,,pm25,12.7,,,4.1,,51,124,,10.7,
1242,37.7394,112.5583,2019-10-06 13:00:00,+08:00,80,https://aqicn.org/city/china/taiyuan/xiaodian,,pm25,10.9,,,4.1,,52,80,,5.6,
1243,37.8692,112.5369,2019-10-06 13:00:00,+08:00,82,https://aqicn.org/city/china/taiyuan/taoyuan,,pm25,6.4,,,5.7,,37,82,,4.1,
